"id","source","hyperlink","building_type","building","vacancy_rate","household_size","all_uses","du_density","emp_density","Pct_SF_Large_Lot","Pct_SF_Small_Lot","Pct_Attached_SF","Pct_MF_2_to_4","Pct_MF_5_Plus","Pct_Emp_Office_Svc","Pct_Educ_Svc","Pct_Medical_Svc","Pct_Public_Admin","Pct_Retail_Svc","Pct_Restaurant","Pct_Accommodation","Pct_Arts_Entertainment","Pct_Other_Svc","Pct_Manufacturing","Pct_Transport_warehouse","Pct_Wholesale","Pct_Construction_Util","Pct_Agriculture","Pct_Extraction","percent_of_building_type","floors","total_far","parking_spaces","parking_structure_square_feet","residential_efficiency","residential_lot_square_feet","square_feet_per_du","retail_efficiency","retail_square_feet_per_employee","office_efficiency","office_square_feet_per_employee","industrial_efficiency","industrial_square_feet_per_employee","misc_percent_of_retail_use","retail_percent_of_retail_use","restaurant_percent_of_retail_use","grocery_percent_of_retail_use","hardscape_percent","irrigated_percent","impervious_roof_percent","impervious_hardscape_percent","pervious_hardscape_percent","softscape_landscape_percent","id"
31,0,0,"Parking Structure/Mixed Use","Parking Structure/Mixed Use (Fahrenheit Condos + Petco Parkade, San Diego CA)",0.0635,1.835,0,12.342,14.8104,0,0,0,0,0.5,0,0,0,0,0.205,0.035,0,0.0182,0.2418,0,0,0,0,0,0,0.4,4,0.8,396,130680,0.85,5000,1200,0.85,1000,0.85,525,0.85,1000,0.52,0.34,0.07,0.07,0.2,0.3,0,0,0,0,531
32,0,0,"Parking Structure/Mixed Use","Parking Structure/Mixed Use (2)",0.0635,1.835,0,19.7472,29.6208,0,0,0,0,0.5,0,0,0,0,0.205,0.035,0,0.0182,0.2418,0,0,0,0,0,0,0.35,5,1.6,528,174240,0.85,7117,1500,0.85,1000,0.85,350,0.85,1000,0.52,0.34,0.07,0.07,0.32,0.3,0,0,0,0,532
33,0,0,"Parking Structure/Mixed Use","Parking Structure/Mixed Use (3)",0.0635,1.835,0,24.684,44.4312,0,0,0,0,0.5,0,0,0,0,0.205,0.035,0,0.0182,0.2418,0,0,0,0,0,0,0.25,6,2.4,660,217800,0.85,6956,1800,0.85,1000,0.95,350,0.85,1000,0.52,0.34,0.07,0.07,0.4,0.3,0,0,0,0,533
37,0,0,"Main Street Commercial/MU High (3-5 Floors)","Main Street Commercial/MU (3400 Cesar Chavez St, SF, CA)",0.0635,1.835,0,84.8746998,50.4878792,0,0,0,0,0.81,0,0,0,0,0.0779,0.0133,0,0.01976,0.07904,0,0,0,0,0,0,0.1,4,2.83,130.85,43180.5,0.85,0,1000,0.97,450,0.95,300,0.85,1000,0.52,0.34,0.07,0.07,0.95,0.5,0.95,0,0,0,637
38,0,0,"Main Street Commercial/MU High (3-5 Floors)","Main Street Commercial/MU (Belmont Dairy, Portland OR)",0.0635,1.835,0,102.6482197,54.46452,0,0,0,0,0.78,0,0,0,0,0.0902,0.0154,0,0.09724,0.01716,0,0,0,0,0,0,0.2,5,2.2,56,16400,0.78,6280,710,0.93,450,0.95,300,0.85,1000,0.52,0.34,0.07,0.07,0.85,0.5,0.85,0,0,0,638
39,0,0,"Main Street Commercial/MU High (3-5 Floors)","Main Street Commercial/MU (Venice Renaissance, Venice CA)",0.0635,1.605,0,55.56689264,38.96723859,0,0,0,0,0.77,0,0,0,0,0.0943,0.0161,0,0.0598,0.0598,0,0,0,0,0,0,0.1,4,1.9,295,97350,0.96,0,1101,0.87,425,0.95,300,0.85,1000,0.52,0.34,0.07,0.07,0.7,0.5,0.7,0,0,0,639
40,0,0,"Main Street Commercial/MU High (3-5 Floors)","Main Street Commercial/MU (International Place, Harrisburg, PN)",0.0635,2.105,0,135.5358306,87.0232,0,0,0,0,0.69,0,0,0,0,0.1271,0.0217,0,0.0806,0.0806,0,0,0,0,0,0,0.4,3,2.9,174.6962706,57649.77,0.58,3333,373,1,450,0.95,300,0.85,1000,0.52,0.34,0.07,0.07,0.95,0.5,0.95,0,0,0,640
41,0,0,"Main Street Commercial/MU High (3-5 Floors)","Main Street Commercial/MU (Heilig-Levine, Raleigh NC)",0.0635,0,0,0,225.9356369,0,0,0,0,0,0.52,0,0,0,0.1968,0.0336,0,0.1248,0.1248,0,0,0,0,0,0,0.2,3,2.4,75.579736,24941.31,0.85,4012,1200,0.95,445,0.95,300,0.85,1000,0.52,0.34,0.07,0.07,1,0.5,1,0,0,0,641
44,0,0,"Main Street Commercial/MU Low (1-2 Floors)","Main Street Commercial/MU Low (480 Castro Street, San Francisco) (MU Walgreens)",0.0635,1.605,0,39.80597171,64.31945143,0,0,0,0,0.52,0,0,0,0,0.1968,0.0336,0,0.19968,0.04992,0,0,0,0,0,0,0.5,2,1.9,0,0,0.85,9152,919,0.85,525,0.85,350,0.85,1000,0.52,0.34,0.07,0.07,1,0.6,1,0,0,0,744
47,0,0,"Main Street Commercial/MU Low (1-2 Floors)","Main Street Commercial/MU Low (5488 College Avenue, Oakland) (MU Retail)",0.0635,2.105,0,43.20565498,53.15134206,0,0,0,0,0.52,0,0,0,0,0.1968,0.0336,0,0.1248,0.1248,0,0,0,0,0,0,0.5,2,1.6,35.82081149,0,0.85,8559,713,0.85,535,0.85,350,0.85,1000,0.52,0.34,0.07,0.07,0.99,0.6,0.99,0,0,0,747
52,0,0,"Skyscraper Residential","Skyscraper Residential (Rincon One, San Francisco)",0.0635,1.505,0,545.0088785,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,60,18.9,545.0088785,179852.93,0.85,0,1284,0.85,500,0.85,300,0.85,1000,0,0.8,0.2,0,0.4,0.15,0.4,0,0,0,852
53,0,0,"Skyscraper Residential","Skyscraper Residential (Langstaff W-12)",0.0635,1.635,0,672.4232308,26.16504,0,0,0,0,0.98,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.5,48,15.9,672.4232308,221899.67,0.85,0,858,0.85,450,0.85,300,0.85,1000,0,0.8,0.2,0,0.3313,0.15,0,0,0,0,853
56,0,0,"High-Rise Residential","High-Rise Residential (AC Mid-Rise Res, 27+5 floors)",0.0635,1.685,0,165.9989189,28.06181053,0,0,0,0,0.94,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.25,32,6,199.1987027,65735.57,0.8,0,1184,0.85,475,0.85,300,0.85,1000,0,0.8,0.2,0,0.1875,0.15,0,0,0,0,956
