id,source,hyperlink,building_type,building,vacancy_rate,household_size,all_uses,du_density,emp_density,Pct_SF_Large_Lot,Pct_SF_Small_Lot,Pct_Attached_SF,Pct_MF_2_to_4,Pct_MF_5_Plus,Pct_Emp_Office_Svc,Pct_Educ_Svc,Pct_Medical_Svc,Pct_Public_Admin,Pct_Retail_Svc,Pct_Restaurant,Pct_Accommodation,Pct_Arts_Entertainment,Pct_Other_Svc,Pct_Manufacturing,Pct_Transport_warehouse,Pct_Wholesale,Pct_Construction_Util,Pct_Agriculture,Pct_Extraction,percent_of_building_type,floors,total_far,parking_spaces,parking_structure_square_feet,residential_efficiency,residential_lot_square_feet,square_feet_per_du,retail_efficiency,retail_square_feet_per_employee,office_efficiency,office_square_feet_per_employee,industrial_efficiency,industrial_square_feet_per_employee,misc_percent_of_retail_use,retail_percent_of_retail_use,restaurant_percent_of_retail_use,grocery_percent_of_retail_use,hardscape_percent,irrigated_percent,impervious_roof_percent,impervious_hardscape_percent,pervious_hardscape_percent,softscape_landscape_percent,id
83,0,0,SACOG Very High Density Attached Residential,"Low-Rise Residential (25-35 Dolores, SF)",0.0635,2.245,"Multi-family 5+, , ",103.911677,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4,2.61,88.9,29337,0.85,0,930,0.85,750,0.85,350,0.85,1000,0,0.8,0.2,0,0.65,0.5,0,0,0,0,1283
84,0,0,SACOG Very High Density Attached Residential,"Low-Rise Residential (Ironhorse Family Apartments, Oakland)",0.0635,2.245,"Multi-family 5+, , ",63.420772,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,4,1.73,79.275965,26161.06856,0.85,0,1010,0.85,475,0.85,350,0.85,1000,0,0.8,0.2,0,0.43,0.15,0,0,0,0,1284
85,0,0,SACOG Very High Density Attached Residential,"Low-Rise Residential (MODA Lofts, Stapleton, Denver)",0.0635,2.245,"Multi-family 5+, , ",79.960404,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,4,2.03,127.42,42048.6,0.85,0,940,0.85,500,0.85,350,0.85,1000,0,0.8,0.2,0,0.97,0.5,0.97,0,0,0,1285
87,0,#VALUE!,SACOG High Density Attached Residential,Multifamily Apt/Condo (SEGA Apt/Condo Low),0.0635,2.245,"Multi-family 5+, , ",33.66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3,1,67.32,22215.6,0.85,0,1100,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.33,0.5,0,0,0,0,1387
89,0,0,SACOG High Density Attached Residential,"Multifamily Apt/Condo (Lenzen Square, San Jose)",0.0635,1.845,"Multi-family 5+, , ",54.597661,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3,0.87,109.195322,36034.45627,0.85,0,590,0.85,500,0.85,350,0.85,1000,0,0,0,0,0.6,0.5,0.6,0,0,0,1389
90,0,0,SACOG High Density Attached Residential,"Multifamily Apt/Condo (Linden Court, Oakland)",0.0635,2.245,"Multi-family 5+, , ",49.020338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3,0.94,98.040676,32353.4231,0.85,0,710,0.85,500,0.85,350,0.85,1000,0,0,0,0,0.8,0.5,0.8,0,0,0,1390
91,0,0,SACOG High Density Attached Residential,"Multi-Family Apt/Condo (Sonoma Villero, Bothell, WA)",0.0635,2.245,"Multi-family 5+, , ",24.062388,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,3,0.8,48.124777,4764.352884,0.85,0,1231,0.85,475,0.85,350,0.85,1001,0,0,0,0,0.65,0.5,0.65,0,0,0,1391
92,0,0,SACOG High Density Attached Residential,"Multi-Family Apt/Condo (Town Lofts, Stapleton, Denver)",0.0635,2.245,"Multi-family 5+, , ",37.880446,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,3,1.33,77.44,7666.56,0.85,0,1300,0.85,475,0.85,350,0.85,1000,0,0,0,0,0.85,0.5,0,0,0,0,1392
93,0,0,SACOG High Density Attached Residential,"Multifamily Apt/Condo (Mabuhay Court, San Jose)",0.0635,1.935,"Multi-family 5+, , ",56.136194,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3,0.94,112.272387,37049.88774,0.85,0,620,0.85,475,0.85,350,0.85,1000,0,0,0,0,0.75,0.5,0.75,0,0,0,1393
94,0,0,SACOG High Density Attached Residential,Multifamily Apt/Condo (SCAG Apt/Condo Med),0.0635,2.245,"Multi-family 5+, , ",55.539,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3,1.5,111.078,36655.74,0.85,0,1000,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.5,0.5,0,0,0,0,1394
95,0,#VALUE!,SACOG Medium-High Density Attached Residential,Townhome/Live-Work (Alameda Small Townhouse),0.0411,2.235,"Townhome, , ",30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0.82,45,14850,1,1452,1191,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.41,0.15,0,0,0,0,1495
96,0,0,SACOG Medium-High Density Attached Residential,Townhome/Live-Work (SEGA Townhouse),0.0411,2.735,"Townhome, , ",21.78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0.75,43.56,14374.8,1,2000,1500,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.38,0.15,0,0,0,0,1496
97,0,0,SACOG Medium-High Density Attached Residential,"Townhome/Live-Work (Denver Brownstone, Stapleton, Denver)",0.0411,2.185,"Townhome, , ",19.16129,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,4,1.5,38.322581,12646.45161,1,2897,3410,0.85,750,0.85,350,0.85,1000,0,0,0,0,0.38,0.15,0,0,0,0,1497
